titulo,categoria,preco,avaliacao,data_coleta,link
"A Light in the Attic ","Poetry","£51.77","3","2026-08-20","http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html"
"  Tipping the Velvet","Historical Fiction","£53.74","1","20/08/2026","http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html"
"Soumission","fiction","£50.10","1","2026-08-20","http://books.toscrape.com/catalogue/soumission_998/index.html"
"Sharp Objects","MYSTERY","£47.82","4","21-08-2026","http://books.toscrape.com/catalogue/sharp-objects_997/index.html"
"Sapiens: A Brief History of Humankind ","History","£54.23","5","2026-08-21","http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html"
"The Requiem Red","young adult","£22.65","","22/08/2026","http://books.toscrape.com/catalogue/the-requiem-red_995/index.html"
"The Dirty Little Secrets of Getting Your Dream Job","Business","£33.34","4","2026-08-22","http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","Biography","£17.93","3","22-Aug-2026","http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html"
"The Boys in the Boat","Default","£22.60","4","2026-08-23","http://books.toscrape.com/catalogue/the-boys-in-the-boat_992/index.html"
"The Black Maria","Poetry","","1","2026-08-23","http://books.toscrape.com/catalogue/the-black-maria_991/index.html"
"Starving Hearts (Triangular Trade Trilogy, #1)","Poetry ","£13.99","2","31/02/2026","http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html"
"Shakespeare's Sonnets","poetry","£20.66","4","2026-08-24","http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html"
"Set Me Free","Young Adult","£17.46","5","24/08/2026","http://books.toscrape.com/catalogue/set-me-free_988/index.html"
"Scott Pilgrim's Precious Little Life","Sequential Art","£52.29","5","2026-08-25","http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life_987/index.html"
"Rip it Up and Start Again","Music","£35.02","5","25-08-2026","http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html"
"Our Band Could Be Your Life","Music","£57.25","3","2026-08-25","http://books.toscrape.com/catalogue/our-band-could-be-your-life_985/index.html"
"Olio","music","£23.88","1","26/08/2026","http://books.toscrape.com/catalogue/olio_984/index.html"
"Mesaerion: The Best Science Fiction Stories 1800-1849","Science Fiction","£37.59","1","2026-08-26","http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html"
"Libertarianism for Beginners","Politics","£51.33","2","2026-08-35","http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html"
"It's Only the Himalayas","Travel","£45.17","2","27/08/2026","http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html"
"","Fiction","£29.99","3","2026-08-27","http://books.toscrape.com/catalogue/unknown_980/index.html"
"Emma","Classics","Grátis","5","2026-08-28","http://books.toscrape.com/catalogue/emma_979/index.html"
"Foundation","Sci-Fi","£24.50","4","2026-08-28","http://books.toscrape.com/catalogue/foundation_978/index.html"
"The Fault in Our Stars","Young Adult","£19.99","7","2026-08-28","http://books.toscrape.com/catalogue/the-fault-in-our-stars_977/index.html"
"THE HOBBIT","Fantasy","£28.75","5","2026-08-29","http://books.toscrape.com/catalogue/the-hobbit_976/index.html"
"A Light in the Attic ","Poetry","£51.77","3","2026-08-20","http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html"
"Soumission","fiction","£50.10","1","2026-08-20","http://books.toscrape.com/catalogue/soumission_998/index.html"
"Shakespeare's Sonnets","poetry","£20.66","4","2026-08-24","http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html"
